id,name,album,artist,popularity,release_date,duration_ms,explicit,genre
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,Wiped Out!,The Neighbourhood,85,2015-10-30,260173,False,pop
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,78,1972,186826,False,pop
4Kd9tBUgpXv26OfR6ugBv1,Finer Things (Feat. Hank Williams Jr.),F-1 Trillion,"Post Malone, Hank Williams, Jr.",72,2024-08-15,185533,False,pop
07oO1U722crtVcavi6frX6,"Double Life - From ""Despicable Me 4""","Double Life (From ""Despicable Me 4"")",Pharrell Williams,83,2024-06-14,190782,False,pop
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,Enema Of The State,blink-182,83,1999-06-01,167066,False,pop
6tWGe6nvXFWT0KhGCXM89q,Devil You Know,Devil You Know,Tyler Braden,79,2024-02-02,192693,False,pop
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,"Post Malone, Swae Lee",84,2019-09-06,157560,False,pop
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,87,2019-08-23,221306,False,pop
1SPI4AlK4121PEQPGSpdcY,California Sober (Feat. Chris Stapleton),F-1 Trillion,"Post Malone, Chris Stapleton",73,2024-08-15,204411,True,pop
0gucUyFMFRMlUiVn9US4YX,Losers (Feat. Jelly Roll),F-1 Trillion,"Post Malone, Jelly Roll",72,2024-08-15,209038,False,pop
7HUhMOrlvwBPfBq3c0ajh0,JOYRIDE,JOYRIDE,Kesha,81,2024-07-04,150000,True,pop
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,88,2012-12-07,213826,False,pop
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,24K Magic,Bruno Mars,86,2016-11-17,206693,False,pop
2XHzzp1j4IfTNp1FTn7YFg,Love Me,I Am Not A Human Being II (Deluxe),"Lil Wayne, Drake, Future",81,2013-01-01,255053,True,pop
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,"The Chainsmokers, Coldplay",88,2017-04-07,247160,False,pop
1sqXfPaRD7npnH712RZQAF,Have The Heart (Feat. Dolly Parton),F-1 Trillion,"Post Malone, Dolly Parton",72,2024-08-15,183333,False,pop
1kMWJ16W3Yk3hyNmaM7jfQ,Holy Smokes,Holy Smokes,Bailey Zimmerman,77,2024-02-23,195157,False,pop
7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,"The Weeknd, Daft Punk",89,2016-11-25,230453,True,pop
3Y1EvIgEVw51XtgNEgpz5c,Von dutch,BRAT,Charli xcx,82,2024-06-07,164284,True,pop
3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,Feel It (From The Original Series “Invincible”),d4vd,82,2024-03-28,157974,False,pop
20hTkA9oKKuxghkRptRczS,Goes Without Saying (Feat. Brad Paisley),F-1 Trillion,"Post Malone, Brad Paisley",71,2024-08-15,212353,False,pop
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,Jungle Rules,"French Montana, Swae Lee",87,2017-07-14,233901,True,pop
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),"Billie Eilish, Khalid",87,2018-04-19,200185,False,pop
6StwwqB84sJeLr7tZDTxEX,Guy For That (Feat. Luke Combs),F-1 Trillion,"Post Malone, Luke Combs",71,2024-08-15,164011,False,pop
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),Planet Pit (Deluxe Version),"Pitbull, AFROJACK, Ne-Yo, Nayer",86,2011-06-17,252306,False,pop
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)","Shakira, Wyclef Jean",87,2005-11-28,218093,False,pop
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,Weezer,80,2001-05-15,200306,False,pop
3fonAuTvuI5KMcmnueLAPq,Straight and Narrow,Million Eyes,Sam Barber,79,2023-09-21,199874,False,pop
25uMKq5kygC2woAfeetEfE,Nosedive (Feat. Lainey Wilson),F-1 Trillion,"Post Malone, Lainey Wilson",71,2024-08-15,192459,False,pop
2gam98EZKrF9XuOkU13ApN,Promiscuous,Loose,"Nelly Furtado, Timbaland",84,2006-01-01,242293,False,pop
5RsUlxLto4NZbhJpqJbHfN,Jessie's Girl,Working Class Dog,Rick Springfield,76,1981-03-13,194120,False,pop
7fBv7CLKzipRk6EC6TWHOB,The Hills,Beauty Behind The Madness,The Weeknd,85,2015-08-28,242253,True,pop
6DLbBlGIOjjEj0dNN25zhZ,Tennessee Orange,Lucky,Megan Moroney,77,2023-05-05,223119,False,pop
5uu2OCGGrTRS1sIvlMgKwe,i am not who i was,i am not who i was,Chance Peña,83,2023-09-21,145438,False,pop
0mNzElhEofvgMWAJoOA4q9,Pour Me A Drink (Feat. Blake Shelton),F-1 Trillion,"Post Malone, Blake Shelton",71,2024-08-15,195122,False,pop
1IzCS4zuowRsXu4YS8caOB,Missin’ You Like This (Feat. Luke Combs),F-1 Trillion,"Post Malone, Luke Combs",71,2024-08-15,222781,False,pop
7H0ya83CMmgFcOhw0UB6ow,Space Song,Depression Cherry,Beach House,77,2015-08-28,320466,False,pop
2ixsaeFioXJmMgkkbd4uj1,Budapest,Wanted on Voyage (Expanded Edition),George Ezra,84,2014-06-30,200733,False,pop
4IFd7EVCyJsUHesBMXI8ju,Parking Lot,Parking Lot,"Mustard, Travis Scott",81,2024-06-21,172794,True,pop
149r4BNMXwFRWjPYcKNNgc,Devil I've Been (Feat. ERNEST),F-1 Trillion,"Post Malone, ERNEST",70,2024-08-15,182924,False,pop
1CsMKhwEmNnmvHUuO5nryA,SKINNY,HIT ME HARD AND SOFT,Billie Eilish,83,2024-05-17,219733,False,pop
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,83,2018-11-02,153000,False,pop
4PMqSO5qyjpvzhlLI5GnID,Good Days,SOS,SZA,81,2022-12-09,278480,True,pop
2K7xn816oNHJZ0aVqdQsha,Softcore,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,85,2018-11-02,206280,False,pop
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,Rockstar,LISA,92,2024-06-27,138213,True,pop
1LLUoftvmTjVNBHZoQyveF,THE DINER,HIT ME HARD AND SOFT,Billie Eilish,83,2024-05-17,186346,False,pop
09keT5ocFhEd5W5HidiUNq,Chk Chk Boom,ATE,Stray Kids,87,2024-07-19,148051,False,pop
6nf4oqFOsVKLwJPEliYVwT,Hide My Gun (Feat. HARDY),F-1 Trillion,"Post Malone, HARDY",69,2024-08-15,220479,True,pop
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,reputation,Taylor Swift,85,2017-11-10,236413,False,pop
0DM63CJEklNPKu6kHGyuEl,Yours,F-1 Trillion,Post Malone,70,2024-08-15,199438,False,pop
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),"JID, 21 Savage, Baby Tate",81,2022-10-31,229938,True,pop
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,84,2010-05-11,220734,False,pop
1odExI7RdWc4BT515LTAwj,Daylight,Daylight,David Kushner,87,2023-04-14,212953,False,pop
4rhSYWoLaBbkQccjme9UOJ,Never Love You Again (Feat. Sierra Ferrell),F-1 Trillion,"Post Malone, Sierra Ferrell",69,2024-08-15,186861,False,pop
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,86,2019-12-13,174000,False,pop
2YFhqZvhTpyK13gKXMKV7R,"Girl, so confusing featuring lorde","Girl, so confusing featuring lorde","Charli xcx, Lorde",82,2024-06-21,205938,False,pop
2AYEOC02WLhUiOoaig2SEH,Out of My League,More Than Just a Dream (Deluxe Edition),Fitz and The Tantrums,75,2013-05-07,209386,False,pop
7k2nR2eTRVuzAMCXUj3HMv,Right About You,F-1 Trillion,Post Malone,68,2024-08-15,183046,False,pop
3It5ZyIlvFxgrxAkiQLGBR,M-E-X-I-C-O (Feat. Billy Strings),F-1 Trillion,"Post Malone, Billy Strings",68,2024-08-15,155928,False,pop
6YUTL4dYpB9xZO5qExPf05,Summer,Motion,Calvin Harris,86,2014-10-31,222533,False,pop
14AyWf6y7KlWWLfAjdKMKI,Ophelia,Cleopatra,The Lumineers,82,2016-04-08,160097,False,pop
6RiiSy9GzSwiyDEJDiMuKe,Something About You,Mulholland Drive,"Eyedress, Dent May",82,2021-08-27,153312,False,pop
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,87,2019-05-17,182160,False,pop
6I9VzXrHxO9rA9A5euc8Ak,Toxic,In The Zone,Britney Spears,85,2003-11-13,198800,False,pop
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,Good Looking,Suki Waterhouse,82,2022-08-18,214800,False,pop
2Z8WuEywRWYTKe1NybPQEW,Ride,Blurryface,Twenty One Pilots,84,2015-05-15,214506,False,pop
0MIp9iBm1V41ERxkZnmSUG,Pretty Little Poison,Pretty Little Poison,Warren Zeiders,77,2023-08-10,218260,False,pop
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,18 Months,Calvin Harris,85,2012-10-29,206413,False,pop
4uzKAj0mIyYmyhsRRyPXaQ,Carry You Home,Carry You Home,Alex Warren,84,2024-05-31,166880,False,pop
36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,Am I Okay?,Megan Moroney,76,2024-07-12,235002,False,pop
